id;consent;age;sex;edu;edu_misc;VET;VET_misc;position;position_misc;tenure;industry;BSW1;BSW2;BSW3;BSW4;BSW5;BSW6;JCQ1;JCQ2;JCQ3;JCQ4;JCQ5;JCQ6;JCQ7;JCQ8;JCQ9;JCQ10;JCQ11;JCQ12;JCQ13;JCQ14;JCQ15;neuro;intro;open;agreeable;conscientious;Interviewer
127;1;26;2;5;;1;;2;;3;3;5;5;4;4;3;4;5;5;3;5;6;6;4;4;6;6;6;6;4;6;6;4;2;6;7;6;AA0410
128;1;26;2;5;;1;;2;;3;3;5;5;3;4;4;1;5;3;3;5;6;3;6;6;6;6;6;6;3;6;6;1;1;6;7;6;AL039
122;1;36;1;4;;1;;4;;11;14;4;4;2;4;3;3;4;3;4;5;4;3;4;4;3;4;5;4;4;5;5;3;2;5;5;5;BL1213
472;1;24;2;4;;1;;5;;5;2;4;3;5;3;4;5;4;3;4;4;3;6;2;2;2;3;4;4;4;5;4;2;2;3;6;4;BR092
91;1;31;1;4;;1;;2;;7;10;5;5;1;5;3;2;4;4;3;5;5;1;3;4;5;4;6;5;2;5;6;5;2;5;4;6;EE056
113;1;60;1;3;;1;;2;;12;12;5;5;5;5;5;1;5;4;4;5;4;4;4;3;4;3;4;3;3;4;3;4;3;5;5;6;FK017
104;1;22;1;4;;1;;1;;2;2;5;5;1;5;5;1;6;1;1;5;6;1;6;5;6;6;6;4;1;4;5;2;2;5;6;6;FR093
223;1;22;1;2;;1;;1;;2;2;3;2;4;4;4;3;4;4;3;4;3;3;4;4;3;4;4;3;4;3;6;5;4;5;5;6;GJ0915
124;1;22;2;3;;1;;1;;1;2;5;5;1;5;1;1;6;6;6;6;6;1;6;6;6;6;6;6;3;6;6;1;1;7;7;7;GK115
154;1;34;1;4;;1;;2;;9;9;5;5;1;5;5;1;6;5;6;6;5;1;4;5;6;6;6;4;2;5;5;3;1;7;7;6;HG084
150;1;25;1;4;;1;;3;;4;4;5;5;1;5;5;1;5;5;3;6;6;1;5;5;6;6;6;6;5;6;6;1;1;4;6;7;HK0416
80;1;56;1;4;;1;;4;;35;35;5;5;1;4;4;1;4;4;4;4;4;3;4;4;4;5;5;3;3;5;4;2;2;5;6;5;HN017
109;1;27;2;4;;1;;3;;7;7;5;4;1;3;4;1;5;4;4;6;5;2;5;5;5;5;4;3;4;6;4;3;1;5;7;6;HR0315
134;1;25;1;5;;1;;2;;9;9;4;3;4;4;4;4;3;4;5;4;3;4;4;4;4;5;4;4;4;4;4;5;4;5;6;6;HT0813
152;1;31;1;3;;1;;4;;10;10;5;4;3;4;3;3;5;5;5;4;5;3;2;2;2;5;6;2;3;6;6;3;2;5;7;5;IE047
108;1;35;2;2;;1;;2;;15;15;4;4;2;4;4;2;3;3;3;4;4;2;3;3;4;4;4;2;2;4;4;4;5;5;6;6;IH0113
121;1;20;2;5;;1;;1;;1;1;5;5;5;4;5;5;6;5;6;5;5;6;6;6;5;6;6;6;6;6;6;1;1;6;7;7;KI1015
103;1;46;1;4;;1;;2;;25;25;5;5;1;5;5;1;4;4;5;3;2;4;5;5;6;6;6;4;4;5;5;1;1;5;6;7;KL115
110;1;20;1;3;;1;;1;;0,25;0,25;4;2;2;3;3;2;4;3;5;4;4;3;6;6;6;5;6;3;4;2;3;2;2;5;6;7;KR1111
118;1;24;1;3;;1;;2;;4;4;4;4;3;4;3;2;6;3;4;4;4;2;4;3;4;4;4;4;3;5;5;3;4;5;5;3;LK0310
95;1;49;2;4;;1;;2;;2;2;3;5;3;5;3;3;5;5;5;5;5;3;5;5;5;5;4;3;3;3;4;1;1;6;7;6;NN0412
192;1;46;1;4;;1;;2;;25;25;5;5;1;5;4;1;4;5;5;4;3;5;5;5;5;5;5;4;6;5;5;1;1;5;6;6;NZ0415
